ID;TITULO;MES;AÑ;AUTORES;REVISTA;CITACIONES;REFERENCIAS
407;MOF-Based Catalysts for Selective Hydrogenolysis of Carbon Oxygen Ether Bonds;Jan;2016;"Stavila, V; Parthasarathi, R; (...); Allendorf, MD";ACS CATALYSIS;69;30
408;Characterization of a 100 micrometer-scale cryogenically cooled gas jet for near-critical density laser-plasma experiments;Oct;2019;"Salehi, F; Goers, AJ; (...); Milchberg, HM";REVIEW OF SCIENTIFIC INSTRUMENTS;4;50
409;Global impact of multinational biofuel mandates on land use, feedstock prices, international trade and land-use greenhouse gas emissions;Jun;2014;"Banse, M; Junker, F; (...); van Meijl, H";LANDBAUFORSCHUNG;2;43
410;High-Temperature Neutron Diffraction Study of Nb2AlC and TiNbAlC;Mar;2015;"Bentzel, GW; Lane, NJ; (...); Caspi, EN";JOURNAL OF THE AMERICAN CERAMIC SOCIETY;8;49
411;Coordination chemistry of 2,6-dimethanol pyridine with early transition metal alkoxide compounds;Mar;2015;"Boyle, TJ; Neville, ML; (...); Jan, L";JOURNAL OF COORDINATION CHEMISTRY;3;31
412;Chemical Quantification of Atomic-Scale EDS Maps under Thin Specimen Conditions;Dec;2014;"Lu, P; Romero, E; (...); Jia, QX";MICROSCOPY AND MICROANALYSIS;29;21
413;High-temperature neutron diffraction and the temperature-dependent crystal structures of the MAX phases Ti3SiC2 and Ti3GeC2;nov-10;2010;"Lane, NJ; Vogel, SC and Barsoum, MW";PHYSICAL REVIEW B;23;39
414;Experimental investigation of milling regimes in planetary ball mill and their influence on structure and reactivity of gasless powder exothermic mixtures;Apr;2015;"Rogachev, AS; Moskovskikh, DO; (...); Mukasyan, AS";POWDER TECHNOLOGY;53;28
415;Mechanochemistry of Group 4 Element-Based Metal-Organic Frameworks;nov-01;2021;"Salvador, FE; Miller, V; (...); Gao, WY";INORGANIC CHEMISTRY;1;43
416;Experiment study of solidification performance and long-term mechanical properties of dredger filled mud;Sep;2017;"Yang, AW; Zhong, XK; (...); Li, Y";ROCK AND SOIL MECHANICS;-;18
417;Carbon K-Edge X-ray Absorption Spectroscopy and Time-Dependent Density Functional Theory Examination of Metal-Carbon Bonding in Metallocene Dichlorides;oct-02;2013;"Minasian, SG; Keith, JM; (...); Vernon, LJ";JOURNAL OF THE AMERICAN CHEMICAL SOCIETY;34;93
418;Correlated rattling-ion origins of dielectric properties in reentrant dipole glasses BaTiO3-BiScO3;nov-09;2015;"Krayzman, V; Levin, I; (...); Bridges, F";APPLIED PHYSICS LETTERS;32;35
419;Positive emotions of the students of Secondary Education in the practices of basketball in Physical Education;nov-09;2021;Johnson, FNM and Sanchez, ACJ;RETOS-NUEVAS TENDENCIAS EN EDUCACION FISICA DEPORTE Y RECREACION;-;54
420;Integrating bioenergy and food production on degraded landscapes in Indonesia for improved socioeconomic and environmental outcomes;Jul;2019;"Rahman, SA; Baral, H; (...); Sunderland, T";FOOD AND ENERGY SECURITY;10;77
421;Anti-nutrient analysis of 30 Bambara groundnut (Vigna subterranea) accessions in South Africa;Jul;2018;"Unigwe, AE; Doria, E; (...); Pillay, M";JOURNAL OF CROP IMPROVEMENT;9;48
422;Iterative Monte Carlo simulation with the Compton kinematics-based GEB in a plastic scintillation detector;sept-21;2015;"Kim, C; Kim, Y; (...); Cho, G";NUCLEAR INSTRUMENTS & METHODS IN PHYSICS RESEARCH SECTION A-ACCELERATORS SPECTROMETERS DETECTORS AND ASSOCIATED EQUIPMENT;7;18
423;Understanding Resilience Dimensions and Adaptive Strategies to the Impact of Recurrent Droughts in Borana Zone, Oromia Region, Ethiopia: A Grounded Theory Approach;Feb;2017;"Birhanu, Z; Ambelu, A; (...); Woldemichael, K";INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC HEALTH;14;34
424;High-flux plasma exposure of ultra-fine grain tungsten;Nov;2016;"Kolasinski, RD; Buchenauer, DA; (...); Mills, BE";INTERNATIONAL JOURNAL OF REFRACTORY METALS & HARD MATERIALS;9;32
425;High-pressure phase transitions of Fe3-xTixO4 solid solution up to 60 GPa correlated with electronic spin transition;Apr;2013;"Yamanaka, T; Kyono, A; (...); Mao, HK";AMERICAN MINERALOGIST;18;49
426;Investigation into the behavior of metal-argon polyatomic ions (MAr+) in the extraction region of inductively coupled plasma-mass spectrometry;Oct;2012;"Ebert, CH; Witte, TM and Houk, RS";SPECTROCHIMICA ACTA PART B-ATOMIC SPECTROSCOPY;5;40
427;Introducing Grain Boundary Influenced Stochastic Effects into Constitutive Models;Mar;2013;"Niezgoda, SR; Beyerlein, IJ; (...); Tome, CN";JOM;15;28
428;Protective overcoatings on thin-film titanium targets for neutron generators;feb-01;2014;"Falabella, S; Tang, V; (...); Mintz, JM";NUCLEAR INSTRUMENTS & METHODS IN PHYSICS RESEARCH SECTION A-ACCELERATORS SPECTROMETERS DETECTORS AND ASSOCIATED EQUIPMENT;10;7
429;Study of the structure of exploding flat foils at superhigh current density;nov-28;2020;"Shelkovenko, TA; Pikuz, SA; (...); Hammer, DA";JOURNAL OF APPLIED PHYSICS;2;33
430;Note: Application of UF-4 emulsion films to detect low-energy ions from plasmas produced by laser ablation;Apr;2014;"Nishio, M; Shrestha, I; (...); Takasugi, K";REVIEW OF SCIENTIFIC INSTRUMENTS;-;17
431;Exploring additive manufacturing as a high-throughput screening tool for multiphase high entropy alloys;Jan;2021;"Pegues, JW; Melia, MA; (...); Kustas, AB";ADDITIVE MANUFACTURING;11;80
432;Pressure-induced structural transformations in lanthanide titanates: La2TiO5 and Nd2TiO5;Nov;2010;"Zhang, FX; Wang, JW; (...); Ewing, RC";JOURNAL OF SOLID STATE CHEMISTRY;28;32
433;Electrostatic Coupling between Two Surfaces of a Topological Insulator Nanodevice;nov-14;2014;"Fatemi, V; Hunt, B; (...); Jarillo-Herrero, P";PHYSICAL REVIEW LETTERS;29;41
434;High-temperature neutron diffraction and first-principles study of temperature-dependent crystal structures and atomic vibrations in Ti3AlC2, Ti2AlC, and Ti5Al2C3;may-14;2013;"Lane, NJ; Vogel, SC; (...); Barsoum, MW";JOURNAL OF APPLIED PHYSICS;35;60
435;EVALUATION OF USER'S PERCEPTIONS REGARDING PERFORMANCE INDICATORS OF INTERCITY BUS TERMINALS IN LAHORE, PAKISTAN;may-14;2017;"Ikhlaq, S; Javid, MA and Qayyum, TI";TRANSPORT PROBLEMS;-;20
436;Low beryllium content Zr-based bulk metallic glass composite with plasticity and work hardenability;Jan28;2014;Zheng, Q and Du, J;JOURNAL OF APPLIED PHYSICS;5;25
437;Benchmarking the extraction of statistical neutron capture cross sections on short-lived nuclei for applications using the beta-Oslo method;Aug26;2019;"Liddick, SN; Larsen, AC; (...); Zeiser, F";PHYSICAL REVIEW C;1;110
438;Preparation of (5.0%)Er3+:Y3Al5O12/Pt-(TiO2-Ta2O5) nanocatalysts and application in sonocatalytic decomposition of ametryn in aqueous solution;Jan;2017;"Li, GS; Zhang, HB; (...); Song, YT";ULTRASONICS SONOCHEMISTRY;19;45
439;Barium titanate nanoparticles: Short-range lattice distortions with long-range cubic order;Aug15;2018;"Shi, CY; Billinge, SJL; (...); Monson, TC";PHYSICAL REVIEW B;12;31
440;WO3-Enhanced TiO2 Nanotube Photoanodes for Solar Water Splitting with Simultaneous Wastewater Treatment;Dec11;2013;Reyes-Gil, KR and Robinson, DB;ACS APPLIED MATERIALS & INTERFACES;82;35
441;Solute redistribution and phase stability at FeCr/TiO2-x interfaces under ion irradiation;may-01;2015;"Xu, Y; Aguiar, JA; (...); Li, N";ACTA MATERIALIA;7;48
442;Ultrasonic additive manufacturing of zirconium: Pilot results;nov-01;2021;"Massey, CP; Havrilak, CJ; (...); Nelson, AT";MATERIALS LETTERS;2;12
443;Paper-Based Vapor Detection of Hydrogen Peroxide: Colorimetric Sensing with Tunable Interface;Mar;2011;"Xu, MA; Bunes, BR and Zang, L";ACS APPLIED MATERIALS & INTERFACES;83;53
444;Fully Accountable Data Sharing for Pay-as-You-Go Cloud Scenes;Jul-aug;2021;"Wang, T; Ma, H; (...); Song, ZS";IEEE TRANSACTIONS ON DEPENDABLE AND SECURE COMPUTING;-;37
445;Using Machine Learning To Identify Factors That Govern Amorphization of Irradiated Pyrochlores;mar-28;2017;"Pilania, G; Whittle, KR; (...); Uberuaga, BP";CHEMISTRY OF MATERIALS;24;58
446;Experiences with and expectations of maternity waiting homes in Luapula Province, Zambia: a mixed-methods, cross-sectional study with women, community groups and stakeholders;Jan25;2018;"Chibuye, PS; Bazant, ES; (...); Fruhauf, T";BMC PREGNANCY AND CHILDBIRTH;20;30
447;Fuel-shell interface instability growth effects on the performance of room temperature direct-drive implosions;Aug;2019;"Miller, SC; Knauer, JP; (...); Goncharov, VN";PHYSICS OF PLASMAS;-;31
448;Multivariate statistics applications in phase analysis of STEM-EDS spectrum images;Jan;2010;Parish, CM and Brewer, LN;ULTRAMICROSCOPY;35;43
449;Investigation of the shear response and geometrically necessary dislocation densities in shear localization in high-purity titanium;May;2017;"Zhu, CY; Livescu, V; (...); Vecchio, KS";INTERNATIONAL JOURNAL OF PLASTICITY;25;72
450;A critical look at the prediction of the temperature field around a laser-induced melt pool on metallic substrates;jun-09;2021;"Shu, Y; Galles, D; (...); Lew, AJ";SCIENTIFIC REPORTS;4;52
451;Pollution characteristics and ecological risk assessment of 11 unheeded metals in sediments of the Chinese Xiangjiang River;Jun;2019;"Li, H; Yang, JQ; (...); Jiang, DY";ENVIRONMENTAL GEOCHEMISTRY AND HEALTH;26;44
452;Comparing the Cost of Protecting Selected Lightweight Block Ciphers against Differential Power Analysis in Low-Cost FPGAs;Jun;2018;"Diehl, W; Abdulgadir, A; (...); Gaj, K";COMPUTERS;4;49
453;Enhanced inactivation of avian influenza virus at-20 degrees C by disinfectants supplemented with calcium chloride or other antifreeze agents;Oct;2015;"Guan, JW; Chan, M; (...); Rohonczy, E";CANADIAN JOURNAL OF VETERINARY RESEARCH-REVUE CANADIENNE DE RECHERCHE VETERINAIRE;3;20
454;Mechanical modeling of metal thin films on elastomers for femtosecond laser patterned interconnects;mar-15;2021;"Turjeman, I; Dotan, T; (...); Shacham-Diamand, Y";MICROELECTRONIC ENGINEERING;-;28
455;Presence of Heavy Metals in Feathers of Avian Species and in Soils of Barangay Ipil-Calancan Bay, Sta.Cruz, Marinduque Island, Philippines;Aug;2019;"Sanchez, MS; Flavier, ME; (...); Pelegrina, DV";PERTANIKA JOURNAL OF TROPICAL AGRICULTURAL SCIENCE;-;32
456;Highly Efficient NaGdF4:Ce/Tb Nanoscintillator with Reduced Afterglow and Light Scattering for High-Resolution X-ray Imaging;sept-22;2021;"Ma, JJ; Zhu, WJ; (...); Prasad, PN";ACS APPLIED MATERIALS & INTERFACES;4;54
457;Non-degenerate two photon absorption enhancement for laser dyes by precise lock-in detection;Dec;2015;"Xue, B; Katan, C; (...); Kobayashi, T";AIP ADVANCES;4;35
458;How Patients of Oral Cancer Cope Up with Impact of the Disease? A Qualitative Study in Central India;Jan-mar;2019;Goswami, S and Gupta, SS;INDIAN JOURNAL OF PALLIATIVE CARE;6;19
459;Reactive sputter deposition of piezoelectric Sc0.12Al0.88N for contour mode resonators;May;2018;"Henry, MD; Young, TR; (...); Griffin, BA";JOURNAL OF VACUUM SCIENCE & TECHNOLOGY B;13;24
460;A benchtop shock physics laboratory: Ultrafast laser driven shock spectroscopy and interferometry methods;Jun;2019;"Powell, MS; Bowlan, PR; (...); McGrane, SD";REVIEW OF SCIENTIFIC INSTRUMENTS;6;120
461;Bright and ultra-fast scintillation from a semiconductor?;Jan1;2016;"Derenzo, SE; Bourret-Courshesne, E; (...); Canning, A";NUCLEAR INSTRUMENTS & METHODS IN PHYSICS RESEARCH SECTION A-ACCELERATORS SPECTROMETERS DETECTORS AND ASSOCIATED EQUIPMENT;24;53
462;Synthesis and Characterization of Tris (trimethylsilyl) siloxide Derivatives of Early Transition Metal Alkoxides That Thermally Convert to Varied Ceramic-Silica Architecture Materials;Aug6;2018;"Boyle, TJ; Sears, JM; (...); Hernandez-Sanchez, BA";INORGANIC CHEMISTRY;7;64
463;Analysis of the effect of ageing, age, and other factors on iris recognition performance using NEXUS scores dataset;Jan;2019;Gorodnichy, DO and Chumakov, MP;IET BIOMETRICS;2;30
464;Rapid identification of Sr on surfaces of metals, porous medium, transparent materials using single-shot laser-induced breakdown spectroscopy;Sep;2019;"Lee, Y; Amphlett, JTM; (...); Choi, S";SPECTROCHIMICA ACTA PART B-ATOMIC SPECTROSCOPY;1;51
465;The effects of laser pulse length and collisional ionization on the acceleration of titanium ions;Jun;2021;"Strehlow, J; Kawahito, D; (...); Petrov, GM";PLASMA PHYSICS AND CONTROLLED FUSION;-;70
466;Structural vs. intrinsic carriers: contrasting effects of cation chemistry and disorder on ionic conductivity in pyrochlores;Jun;2015;Perriot, R and Uberuaga, BP;JOURNAL OF MATERIALS CHEMISTRY A;30;46
467;Investigating possible kinetic limitations to MgB2 hydrogenation;nov-29;2019;"Liu, YS; Klebanoff, LE; (...); Wood, BC";INTERNATIONAL JOURNAL OF HYDROGEN ENERGY;7;48
468;Thin-film piezoelectric MEMS;Nov;2012;Eom, CB and Trolier-McKinstry, S;MRS BULLETIN;191;85
469;BUTTERFLY FACTORIZATION VIA RANDOMIZED MATRIX-VECTOR MULTIPLICATIONS;Nov;2021;"Liu, Y; Xing, X; (...); Li, XS";SIAM JOURNAL ON SCIENTIFIC COMPUTING;3;33
470;Measuring the diffraction properties of an imaging quartz(211) crystal;Jun;2016;"Haugh, MJ; Jacoby, KD; (...); Schneider, MB";REVIEW OF SCIENTIFIC INSTRUMENTS;2;13
471;A-site stoichiometry and piezoelectric response in thin film PbZr1-xTixO3;may-28;2015;"Marincel, DM; Jesse, S; (...); Trolier-McKinstry, S";JOURNAL OF APPLIED PHYSICS;13;44
472;Charged skyrmions on the surface of a topological insulator;feb-18;2015;"Hurst, HM; Efimkin, DK; (...); Galitski, V";PHYSICAL REVIEW B;29;46
473;Potential benefit of amorphization in the retention of gaseous species in irradiated pyrochlores;feb-01;2019;"Holesinger, TG; Valdez, JA; (...); Uberuaga, BP";ACTA MATERIALIA;3;36
474;Multi-method evidence for when and how climate-related disasters contribute to armed conflict risk;May;2020;"Ide, T; Brzoska, M; (...); Schleussner, CF";GLOBAL ENVIRONMENTAL CHANGE-HUMAN AND POLICY DIMENSIONS;31;75
475;A User Authentication Scheme Using Physiological and Behavioral Biometrics for Multitouch Devices;May;2014;"Koong, CS; Yang, TI and Tseng, CC";SCIENTIFIC WORLD JOURNAL;8;42
476;Comprehensive investigation of multi-trace metals/metalloids in urban soil and street dust within Xi'an ancient city wall (NW, China);Sep;2021;"Zhang, Y; Dong, J; (...); Li, T";ENVIRONMENTAL EARTH SCIENCES;-;74
477;Towards developing an efficient sensitive element for trinitrotoluene detection: TiO2 thin films functionalized with molecularly imprinted copolymer films;oct-30;2016;"Lazau, C; Iordache, TV; (...); Rotariu, T";APPLIED SURFACE SCIENCE;17;46
478;Crohn's and Colitis Foundation of America Partners Patient-Powered Research Network: Patient Perspectives on Facilitators and Barriers to Building an Impactful Patient-Powered Research Network;Oct;2018;"Chung, AE; Vu, MB; (...); Kappelman, MD";MEDICAL CARE;5;9
479;Economic institutions and economic growth: Empirical evidence from the Economic Community of West African States;Dec11;2017;Wanjuu, LZ and le Roux, P;SOUTH AFRICAN JOURNAL OF ECONOMIC AND MANAGEMENT SCIENCES;7;47
480;Preliminary assessment of the nutritional composition of underexploited wild legumes from semi-arid Caatinga and moist forest environments of northeastern Brazil;Jun-aug;2011;"Carvalho, AFU; Farias, DF; (...); Machado, OLT";JOURNAL OF FOOD COMPOSITION AND ANALYSIS;12;32
481;Solvothermal synthesis of titania/ceria;Mar;2011;"Li, CQ; Li, RX; (...); Gu, MJ";RARE METALS;5;16
482;Words or Numbers? Communicating Probability in Intelligence Analysis;Apr;2021;Dhami, MK and Mandel, DR;AMERICAN PSYCHOLOGIST;8;91
483;Photophysics and Electronic Structure of Lateral Graphene/MoS2 and Metal/MoS2 Junctions;Dec22;2020;"Subramanian, S; Campbell, QT; (...); Robinson, JA";ACS NANO;4;75
484;ATHENA: A unique radiation environment platform at the National Ignition Facility;nov-11;2021;"Quartemont, NJ; Peterson, G; (...); Bevins, JE";NUCLEAR INSTRUMENTS & METHODS IN PHYSICS RESEARCH SECTION A-ACCELERATORS SPECTROMETERS DETECTORS AND ASSOCIATED EQUIPMENT;-;87
485;Reaction Rate Sensitivity of the Production of gamma-Ray Emitting Isotopes in Core-collapse Supernovae;Sep;2020;"Hermansen, K; Couch, SM; (...); Warren, ML";ASTROPHYSICAL JOURNAL;3;86
486;Power-Dependent Radiant Flux and Absolute Quantum Yields of Upconversion Nanocrystals under Continuous and Pulsed Excitation;Jan11;2018;"Stanton, IN; Ayres, JA; (...); Therien, MJ";JOURNAL OF PHYSICAL CHEMISTRY C;7;43
487;Game-based image semantic CAPTCHA on handset devices;Jul;2015;"Yang, TI; Koong, CS and Tseng, CC";MULTIMEDIA TOOLS AND APPLICATIONS;8;25
488;Hierarchical and heterogeneous multiphase metallic nanomaterials and laminates;Mar;2021;"Misra, A; Goken, M; (...); Beyerlein, IJ";MRS BULLETIN;2;42
489;Microstructure, chemistry and mechanical properties of Ni-based superalloy Rene N4 under irradiation at room temperature;Aug15;2015;"Sun, C; Kirk, M; (...); Maloy, SA";ACTA MATERIALIA;31;51
490;High-pressure high-temperature synthesis and thermal equation of state of high-entropy transition metal boride;mar-01;2021;"Iwan, S; Burrage, KC; (...); Velisavljevic, N";AIP ADVANCES;3;19
491;In-beam gamma-ray spectroscopy at the proton dripline: Sc-40;sept-10;2020;"Gade, A; Weisshaar, D; (...); Rhodes, D";PHYSICS LETTERS B;2;27
492;Quantum Monte Carlo analysis of a charge ordered insulating antiferromagnet: the Ti4O7 Magneli phase;jul-21;2016;"Benali, A; Shulenburger, L; (...); Heinonen, O";PHYSICAL CHEMISTRY CHEMICAL PHYSICS;24;91
493;Uncertainty as opportunity: the challenge of project based careers;jul-21;2018;"Lloyd-Walker, B; Crawford, L and French, E";INTERNATIONAL JOURNAL OF MANAGING PROJECTS IN BUSINESS;4;46
494;Distribution of heavy metals and metalloids in bulk and particle size fractions of soils from coal-mine brownfield and implications on human health;Apr;2017;"Li, HX; Ji, HB; (...); Xing, YX";CHEMOSPHERE;79;58
495;HealthyBlock: Blockchain-Based IT Architecture for Electronic Medical Records Resilient to Connectivity Failures;Oct;2020;"Gutierrez, O; Romero, G; (...); Wightman, P";INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC HEALTH;3;59
496;Anion order in oxysulfide perovskites: origins and implications;jun-03;2020;"Pilania, G; Ghosh, A; (...); Uberuaga, BP";NPJ COMPUTATIONAL MATERIALS;11;67
497;Laser Writing of Bright Colors on Near-Percolation Plasmonic Reflector Arrays;Jan;2019;"Roberts, AS; Noyikov, SM; (...); Bozhevolnyi, SI";ACS NANO;33;32
498;Digital Micro-mirror Device-based broadband optical image sensor for robust imaging applications;Jan1;2011;"Riza, NA; Reza, SA and Marraccini, PJ";OPTICS COMMUNICATIONS;22;43
499;Buoyancy instability of homologous implosions;Jul;2015;Johnson, BM;JOURNAL OF FLUID MECHANICS;1;29
500;Efficacy of Bottle Gourd Seeds' Extracts in Chemical Hazard Reduction Secreted as Toxigenic Fungi Metabolites;Nov;2021;"Abdel-Razek, AG; Badr, AN; (...); Selim, KA";TOXINS;1;56
501;Stream Processing Health Card Application;Oct;2012;Polat, S and Gundem, TI;JOURNAL OF MEDICAL SYSTEMS;-;17
502;Characterization of radiation damage in TiO2 using molecular dynamics simulations;Dec;2018;Cowen, BJ and El-Genk, MS;MODELLING AND SIMULATION IN MATERIALS SCIENCE AND ENGINEERING;1;59
503;Effects of V2O5 and WO3 loadings on the catalytic performance of V2O5-WO3/TiO2 catalyst for SCR of NO with NH3;Mar;2017;"Tao, P; Sun, MH; (...); Cheng, MR";GLOBAL NEST JOURNAL;10;31
504;Preparation and Reactivity of Gasless Nanostructured Energetic Materials;Apr;2015;"Manukyan, KV; Shuck, CE; (...); Mukasyan, AS";JOVE-JOURNAL OF VISUALIZED EXPERIMENTS;3;26
505;The influence of health technology on principal-agent relationship: a study of virtual doctor consultations in Rwanda;Jan;2021;"Beingana, G; Ngomi, N and Habtu, M";HEALTH AND TECHNOLOGY;1;23
506;Three-dimensionally ordered macro/mesoporous TiO2 matrix to immobilize sulfur for high performance lithium/sulfur batteries;oct-12;2018;"Liang, CY; Zhang, XM; (...); Bakenov, Z";NANOTECHNOLOGY;17;38
507;First-principles search for efficient activators for LaI3;Aug;2016;"Wu, DX; Prange, MP; (...); Kerisit, S";JOURNAL OF LUMINESCENCE;8;41
508;Flexible Zinc Oxide Nanowire Array/Graphene Nanohybrid for High-Sensitivity Strain Detection;oct-27;2020;"Panth, M; Cook, B; (...); Wu, JZ";ACS OMEGA;5;58
509;Geology and market-dependent significance of rare earth element resources;Dec;2014;Simandl, GJ;MINERALIUM DEPOSITA;54;152
510;Dataset on assessment of pollution level of selected trace metals in farming area within the proximity of a gold mine dump, Ekuhurleni, South Africa;Oct;2019;"Okereafor, U; Makhatha, E; (...); Mavumengwana, V";DATA IN BRIEF;7;9
511;Implementing active surveillance for TB-The views of managers in a resource limited setting, South Africa;oct-02;2020;Ajudua, FI and Mash, RJ;PLOS ONE;1;54
512;Re-engaging with places: Understanding bio-geo-graphical disruption and flow in adult brain injury survivors;Jun;2019;"Meijering, L; Theunissen, N and Lettinga, AT";SOCIAL SCIENCE & MEDICINE;7;37
513;Infiltration metasomatism of the Allende coarse-grained calcium-aluminum-rich inclusions;nov-04;2021;"Krot, AN; Petaev, MI and Nagashima, K";PROGRESS IN EARTH AND PLANETARY SCIENCE;5;104
514;Demonstration of electron acceleration in a laser-driven dielectric microstructure;nov-07;2013;"Peralta, EA; Soong, K; (...); Byer, RL";NATURE;297;27
515;Core-collapse Supernovae: From Neutrino-driven 1D Explosions to Light Curves and Spectra;Nov;2021;"Curtis, S; Wolfe, N; (...); Ebinger, K";ASTROPHYSICAL JOURNAL;3;130
516;Machine learning elastic constants of multi-component alloys;Oct;2021;"Revi, V; Kasodariya, S; (...); Alankar, A";COMPUTATIONAL MATERIALS SCIENCE;3;66
517;Metal Ion-Assisted Photochemical Vapor Generation for the Determination of Lead in Environmental Samples by Multicollector-ICPMS;Apr21;2015;"Gao, Y; Xu, M; (...); Yang, L";ANALYTICAL CHEMISTRY;78;49
518;Pressure dependence of the laser-metal interaction under laser powder bed fusion conditions probed by in situ X-ray imaging;Mar;2020;"Calta, NP; Martin, AA; (...); Lee, JRI";ADDITIVE MANUFACTURING;16;40
519;Predication of screened hybrid functional on transition metal monoxides: From Mott insulator to charge transfer insulator;nov-05;2019;"Liu, JJ; Yang, T; (...); Wen, XD";JOURNAL OF ALLOYS AND COMPOUNDS;1;66
520;A Fortune from misfortune: Evidence from hog firms' stock price responses to China's African Swine Fever outbreaks;Dec;2021;"Xiong, T; Zhang, WD and Chen, CT";FOOD POLICY;1;85
521;Electron temperature and electron number density measurements in laser ablation Z-pinch experiments of Al2O3;Aug;2019;"Dutra, EC; Koch, JA; (...); Covington, AM";PHYSICS OF PLASMAS;-;19
522;Particle and metal exposure in Parisian subway: Relationship between exposure biomarkers in air, exhaled breath condensate, and urine;Aug;2021;"Canu, IG; Creze, C; (...); Hopf, NB";INTERNATIONAL JOURNAL OF HYGIENE AND ENVIRONMENTAL HEALTH;4;71
523;Optical and electronic properties of dense sodium;may-17;2011;"Marques, M; Santoro, M; (...); Gregoryanz, E";PHYSICAL REVIEW B;40;45
524;The Versatile Electronic, Magnetic and Photo-Electro Catalytic Activity of a New 2D MA(2)Z(4) Family**;jul-07;2021;Chen, J and Tang, Q;CHEMISTRY-A EUROPEAN JOURNAL;8;45
525;Zero-bias conductance peak in Dirac semimetal-superconductor devices;jul-01;2020;"Yu, W; Haenel, R; (...); Pan, W";PHYSICAL REVIEW RESEARCH;7;42
526;Understanding trends in the activity and selectivity of bi-atom catalysts for the electrochemical reduction of carbon dioxide;Apr7;2021;Li, FH and Tang, Q;JOURNAL OF MATERIALS CHEMISTRY A;7;65
527;Electronic and magnetic phenomena at the interface of LaAlO3 and Ru doped SrTiO3;Dec14;2015;"Gray, MT; Sanders, TD; (...); Suzuki, Y";APPLIED PHYSICS LETTERS;3;35
528;On-line UV photochemical generation of volatile copper species and its analytical application;Jan;2016;"Gao, Y; Sturgeon, RE; (...); Yang, L";MICROCHEMICAL JOURNAL;22;48
529;Low-Cost Conversion of Single-Zone HVAC Systems to Multi-Zone Control Systems Using Low-Power Wireless Sensor Networks;Jul;2020;Jornet-Monteverde, JA and Galiana-Merino, JJ;SENSORS;1;23
530;Traditional climate knowledge: a case study in a peasant community of Tlaxcala, Mexico;Aug18;2016;"Rivero-Romero, AD; Moreno-Calles, AI; (...); Camou-Guerrero, A";JOURNAL OF ETHNOBIOLOGY AND ETHNOMEDICINE;8;39
531;Metal oxide nanoparticles alter peanut (Arachis hypogaea L.) physiological response and reduce nutritional quality: a life cycle study;sept-01;2018;"Rui, MM; Ma, CX; (...); Xing, BS";ENVIRONMENTAL SCIENCE-NANO;62;95
532;Cenozoic volcanism of the Capel-Faust Basins, Lord Howe Rise, SW Pacific Ocean;Apr;2011;"Dadd, KA; Locmelis, M; (...); Hashimoto, T";DEEP-SEA RESEARCH PART II-TOPICAL STUDIES IN OCEANOGRAPHY;9;32
533;Bioactive Lipids of Seaweeds from the Portuguese North Coast: Health Benefits versus Potential Contamination;Jun;2021;"Soares, C; Sousa, S; (...); Delerue-Matos, C";FOODS;3;44
534;Improving Accuracy by Coherence Weighting of Direct and Ratio Probability Judgments;Sep;2019;"Fan, YY; Budescu, DV; (...); Himmelstein, M";DECISION ANALYSIS;11;55
535;Local structure in BaTiO3-BiScO3 dipole glasses;mar-14;2016;"Levin, I; Krayzman, V; (...); Torrejon, D";PHYSICAL REVIEW B;23;37
536;Constraints on the source of Cu in a submarine magmatic-hydrothermal system, Brothers volcano, Kermadec island arc;May;2018;"Keith, M; Haase, KM; (...); Bach, W";CONTRIBUTIONS TO MINERALOGY AND PETROLOGY;15;114
537;Electron Enrichment in 3d Transition Metal Oxide Hetero-Nanostructures;Sep;2011;"Kronawitter, CX; Bakke, JR; (...); Vayssieres, L";NANO LETTERS;64;50
538;Estimating Soil Moisture with Landsat Data and Its Application in Extracting the Spatial Distribution of Winter Flooded Paddies;Jan;2016;"Li, BL; Ti, CP; (...); Yan, XY";REMOTE SENSING;25;56
539;Immigrants' Employment Stability Over the Great Recession and Its Aftermath;Oct;2021;Tamborini, CR and Villarreal, A;DEMOGRAPHY;-;72
540;Developing grain boundary diagrams for multicomponent alloys;jun-01;2015;Zhou, NX and Luo, J;ACTA MATERIALIA;42;97
541;Positive and negative association rule mining on XML data streams in database as a service concept;jun-15;2012;Cokpinar, S and Gundem, TI;EXPERT SYSTEMS WITH APPLICATIONS;10;25
542;In-situ high energy X-ray diffraction study of the elastic response of a metastable beta-titanium alloy;sept-15;2020;"Bhattacharyya, JJ; Nair, S; (...); Agnew, SR";ACTA MATERIALIA;7;58
543;ENDF/B-VII.1 Nuclear Data for Science and Technology: Cross Sections, Covariances, Fission Product Yields and Decay Data;Dec;2011;"Chadwick, MB; Herman, M; (...); Young, PC";NUCLEAR DATA SHEETS;1,74;293
544;Using Eclogite Retrogression to Track the Rapid Exhumation of the Pliocene Papua New Guinea UHP Terrane;Oct;2018;"DesOrmeau, J; Gordon, SM; (...); Kylander-Clark, ARC";JOURNAL OF PETROLOGY;8;143
